axis,gt_results_sf1_qt8_10x10_m0_count,gt_results_sf1_qt8_10x10_m0_min,gt_results_sf1_qt8_10x10_m0_p5,gt_results_sf1_qt8_10x10_m0_p10,gt_results_sf1_qt8_10x10_m0_p25,gt_results_sf1_qt8_10x10_m0_median,gt_results_sf1_qt8_10x10_m0_p75,gt_results_sf1_qt8_10x10_m0_p90,gt_results_sf1_qt8_10x10_m0_p95,gt_results_sf1_qt8_10x10_m0_p99,gt_results_sf1_qt8_10x10_m0_max,gt_results_sf1_qt8_10x10_m0_mean,gt_results_sf1_qt8_10x10_m0_std,gt_results_sf1_qt8_10x10_m0_iqr,gt_results_sf1_qt8_10x10_m0_skew,gt_results_sf1_qt8_10x10_m0_kurtosis,gt_results_sf1_qt8_10x10_m0_plan_change_rate,gt_results_sf1_qt8_10x10_m0_axis_count,gt_results_sf1_qt8_10x10_m1_count,gt_results_sf1_qt8_10x10_m1_min,gt_results_sf1_qt8_10x10_m1_p5,gt_results_sf1_qt8_10x10_m1_p10,gt_results_sf1_qt8_10x10_m1_p25,gt_results_sf1_qt8_10x10_m1_median,gt_results_sf1_qt8_10x10_m1_p75,gt_results_sf1_qt8_10x10_m1_p90,gt_results_sf1_qt8_10x10_m1_p95,gt_results_sf1_qt8_10x10_m1_p99,gt_results_sf1_qt8_10x10_m1_max,gt_results_sf1_qt8_10x10_m1_mean,gt_results_sf1_qt8_10x10_m1_std,gt_results_sf1_qt8_10x10_m1_iqr,gt_results_sf1_qt8_10x10_m1_skew,gt_results_sf1_qt8_10x10_m1_kurtosis,gt_results_sf1_qt8_10x10_m1_plan_change_rate,gt_results_sf1_qt8_10x10_m1_axis_count
1,90,1.000050,1.016153,1.041023,1.092496,1.138940,1.252124,6.340701,39.947769,43.890452,44.981240,5.066308,11.665555,0.159628,2.750323,5.790252,0.400000,1,90,1.002107,1.013259,1.015955,1.047701,1.092485,1.177612,1.288776,1.313088,1.392105,1.466096,1.126541,0.102371,0.129910,0.977033,0.393691,0.333333,1
2,90,1.001699,1.011025,1.018487,1.041422,1.109607,1.222798,29.377295,692.238529,1041.788517,1057.312500,74.773822,235.488778,0.181376,3.211419,9.243634,0.233333,1,90,1.001582,1.011655,1.024907,1.061521,1.110689,1.183199,1.250331,1.312030,1.412791,1.459791,1.130008,0.096088,0.121678,1.134352,1.355105,0.222222,1
