plan_change,gt_results_sf1_qt8_10x10_m0_count,gt_results_sf1_qt8_10x10_m0_min,gt_results_sf1_qt8_10x10_m0_p5,gt_results_sf1_qt8_10x10_m0_p10,gt_results_sf1_qt8_10x10_m0_p25,gt_results_sf1_qt8_10x10_m0_median,gt_results_sf1_qt8_10x10_m0_p75,gt_results_sf1_qt8_10x10_m0_p90,gt_results_sf1_qt8_10x10_m0_p95,gt_results_sf1_qt8_10x10_m0_p99,gt_results_sf1_qt8_10x10_m0_max,gt_results_sf1_qt8_10x10_m0_mean,gt_results_sf1_qt8_10x10_m0_std,gt_results_sf1_qt8_10x10_m0_iqr,gt_results_sf1_qt8_10x10_m0_skew,gt_results_sf1_qt8_10x10_m0_kurtosis,gt_results_sf1_qt8_10x10_m0_plan_change_rate,gt_results_sf1_qt8_10x10_m0_axis_count,gt_results_sf1_qt8_10x10_m1_count,gt_results_sf1_qt8_10x10_m1_min,gt_results_sf1_qt8_10x10_m1_p5,gt_results_sf1_qt8_10x10_m1_p10,gt_results_sf1_qt8_10x10_m1_p25,gt_results_sf1_qt8_10x10_m1_median,gt_results_sf1_qt8_10x10_m1_p75,gt_results_sf1_qt8_10x10_m1_p90,gt_results_sf1_qt8_10x10_m1_p95,gt_results_sf1_qt8_10x10_m1_p99,gt_results_sf1_qt8_10x10_m1_max,gt_results_sf1_qt8_10x10_m1_mean,gt_results_sf1_qt8_10x10_m1_std,gt_results_sf1_qt8_10x10_m1_iqr,gt_results_sf1_qt8_10x10_m1_skew,gt_results_sf1_qt8_10x10_m1_kurtosis,gt_results_sf1_qt8_10x10_m1_plan_change_rate,gt_results_sf1_qt8_10x10_m1_axis_count
False,123,1.003234,1.010900,1.019354,1.045867,1.105548,1.185770,1.257870,1.335905,2.706143,3.238372,1.156127,0.273174,0.139902,6.428726,45.566970,0.000000,2,130,1.001582,1.012620,1.017904,1.056245,1.099512,1.170423,1.238084,1.295736,1.368258,1.466096,1.119108,0.088627,0.114178,1.105885,1.346037,0.000000,2
True,57,1.000050,1.033912,1.078467,1.112407,1.215858,39.156335,665.757939,828.961080,1047.544601,1057.312500,123.568563,285.257297,38.043927,2.361842,4.276143,1.000000,2,50,1.004377,1.009884,1.020577,1.046905,1.137917,1.242877,1.304034,1.378131,1.433914,1.459791,1.152109,0.119519,0.195973,0.709591,-0.369387,1.000000,2
