,count,min,p5,p10,p25,median,p75,p90,p95,p99,max,mean,std,iqr,skew,kurtosis,plan_change_rate,axis_count
gt_results_sf1_qt8_10x10_m0,180.000000,1.000050,1.011202,1.027158,1.058996,1.129456,1.242041,10.836675,53.715571,1010.533812,1057.312500,39.920065,170.324130,0.183045,4.798509,22.640126,0.316667,2.000000
gt_results_sf1_qt8_10x10_m1,180.000000,1.001582,1.012447,1.017904,1.055312,1.103431,1.182188,1.273197,1.318991,1.418072,1.466096,1.128275,0.099294,0.126876,1.037115,0.770680,0.277778,2.000000
