rank_data,instance_id,axis,qerr_data,plan_change_data,x1_data,x2_data,source_root_data,source_label_data,rank_selectivity,qerr_selectivity,plan_change_selectivity,x1_selectivity,x2_selectivity,source_root_selectivity,source_label_selectivity,qerr_delta,qerr_ratio,prefer,absolute_improvement,relative_improvement,plan_change_agreement
159,21,1,1.029093,False,2667.760000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,28,1.236362,False,2890.214500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.207270,0.832355,data-space sampling,0.207270,0.201410,True
160,107,2,1.028245,False,223.773333,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,70,1.134698,False,654.570500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.106453,0.906183,data-space sampling,0.106453,0.103529,True
161,152,2,1.027600,False,6333.740000,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,123,1.063903,False,6136.231500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.036302,0.965878,data-space sampling,0.036302,0.035327,True
162,124,2,1.027563,False,2667.760000,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,106,1.083804,False,2890.214500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.056241,0.948108,data-space sampling,0.056241,0.054732,True
163,169,2,1.023520,False,8777.726667,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,145,1.043882,False,8347.116500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.020362,0.980494,data-space sampling,0.020362,0.019894,True
164,134,2,1.022307,False,3889.753333,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,18,1.282798,True,3963.788000,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.260491,0.796935,data-space sampling,0.260491,0.254807,False
165,170,2,1.018615,False,8777.726667,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,93,1.100729,False,8347.116500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.082114,0.925400,data-space sampling,0.082114,0.080614,True
166,74,1,1.018464,False,8777.726667,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,141,1.046823,False,8347.116500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.028359,0.972909,data-space sampling,0.028359,0.027845,True
167,115,2,1.017338,False,1445.766667,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,140,1.047564,False,1770.717500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.030226,0.971146,data-space sampling,0.030226,0.029711,True
168,83,1,1.014262,True,9999.720000,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,45,1.183594,True,9449.346500,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.169332,0.856934,data-space sampling,0.169332,0.166951,True
169,178,2,1.011947,False,9999.720000,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,97,1.094823,False,9449.346500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.082876,0.924302,data-space sampling,0.082876,0.081898,True
170,179,2,1.011624,False,9999.720000,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,178,1.002944,False,9449.346500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.008680,1.008654,selectivity-space sampling,0.008680,0.008654,True
171,125,2,1.011220,False,2667.760000,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,125,1.062960,False,2890.214500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.051740,0.951324,data-space sampling,0.051740,0.051166,True
172,105,2,1.010865,False,223.773333,81827.611111,gt_results_sf1_qt8_10x10_m0,data-space sampling,120,1.073818,False,654.570500,55158.940000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.062953,0.941374,data-space sampling,0.062953,0.062277,True
173,75,1,1.007803,False,8777.726667,58705.722222,gt_results_sf1_qt8_10x10_m0,data-space sampling,118,1.074160,True,8347.116500,40321.260000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.066356,0.938225,data-space sampling,0.066356,0.065843,False
174,81,1,1.007233,False,9999.720000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,162,1.018113,False,9449.346500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.010880,0.989314,data-space sampling,0.010880,0.010802,True
175,143,2,1.006338,False,5111.746667,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,76,1.129531,False,5091.417000,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.123193,0.890934,data-space sampling,0.123193,0.122417,True
176,160,2,1.006015,False,7555.733333,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,113,1.076754,False,7270.635000,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.070738,0.934304,data-space sampling,0.070738,0.070315,True
177,79,1,1.004563,False,8777.726667,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,130,1.059265,False,8347.116500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.054702,0.948359,data-space sampling,0.054702,0.054453,True
178,142,2,1.003234,False,5111.746667,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,144,1.044346,True,5091.417000,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.041112,0.960634,data-space sampling,0.041112,0.040979,False
179,133,2,1.001699,True,3889.753333,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,95,1.098295,False,3963.788000,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.096596,0.912049,data-space sampling,0.096596,0.096432,False
180,82,1,1.000050,True,9999.720000,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,109,1.080139,True,9449.346500,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.080089,0.925853,data-space sampling,0.080089,0.080085,True
